Year,Group,Title,Stock Assessment,Physical Oceanography,North Sea Fisheries,Bycatch,Plankton,Elasmobranchs,Otoliths,Ecosystem Approach and Aquaculture,Eels,Sea Floor,Acoustic Surveys,Nephrops,Baltic Fisheries,Pelagic Fisheries,Deep Sea Fisheries,Trawl Surveys,North Western Fisheries,Barents Sea Fisheries,Biodiversity,Salmon and Trout,Ecosystem Based Management,Contaminants and Biological Effects,Salmon Tags,Redfish,"Horse Mackerel, Anchovy and Sardines",Reference Points
2001,SGDBI,11815_REPORT OF THE Study Group on Discard and By-Catch Information,1.4635723346145824e-05,8.148290362441912e-06,0.08533419668674469,0.10139036923646927,5.953174422757002e-06,6.9272041400836315e-06,0.11028802394866943,1.553248512209393e-05,6.267422577366233e-06,0.06781184673309326,1.1855875527544413e-05,0.5255738496780396,0.05463755875825882,1.653250183153432e-05,1.0386235771875363e-05,9.928055987984408e-06,0.0234153363853693,1.2747091204801109e-05,9.788117495190818e-06,6.369737548084231e-06,1.2664626410696656e-05,6.923523869772907e-06,4.581107077683555e-06,1.2372251148917712e-05,0.03135253116488457,2.471775223966688e-05
2001,SGDBI,9970_Report of the Study Group on Discard and By-Catch Information (SGDBI),1.4635729712608736e-05,8.14829400042072e-06,0.0853152722120285,0.10139964520931244,5.953177151241107e-06,6.927207778062439e-06,0.11029548197984695,1.5532492398051545e-05,6.267425760597689e-06,0.06779391318559647,1.1855880984512623e-05,0.5255845189094543,0.054639123380184174,1.6532509107491933e-05,1.0386240319348872e-05,9.928060535457917e-06,0.023423554375767708,1.274709666176932e-05,9.788122042664327e-06,6.369740731315687e-06,1.2664632777159568e-05,6.9235270530043636e-06,4.581109351420309e-06,1.2372256605885923e-05,0.03135212883353233,2.47177631536033e-05
2000,SGDBI,9763_Report of the Study Group on Discard and By-Catch Information (SGDBI),4.593007361108903e-06,2.5571102924004663e-06,4.970516329194652e-06,0.21220947802066803,1.8682353584154043e-06,0.006090191192924976,0.09137897193431854,4.874430942436447e-06,0.0005916996742598712,0.1949610412120819,3.720631184478407e-06,0.38461434841156006,0.010328095406293869,0.007191009819507599,0.012342561967670918,0.04677676036953926,2.6781985980051104e-06,0.0023304808419197798,0.00267175049521029,1.998962034122087e-06,3.974434548581485e-06,2.1727519197156653e-06,1.437650780644617e-06,0.005458720028400421,0.02301223762333393,7.756966624583583e-06
2000,SGDBI,11814_REPORT OF THE Study Group on Discard and By-Catch Information,4.593008270603605e-06,2.5571105197741417e-06,4.970516783942003e-06,0.21220992505550385,1.8682355857890798e-06,0.0060901823453605175,0.09137892723083496,4.874431397183798e-06,0.0005915433284826577,0.19496101140975952,3.7206316392257577e-06,0.38461440801620483,0.010328123345971107,0.0071915071457624435,0.012342636473476887,0.04677686467766762,2.678198825378786e-06,0.002329329028725624,0.0026718294247984886,1.9989622614957625e-06,3.974435003328836e-06,2.1727521470893407e-06,1.4376510080182925e-06,0.00545886904001236,0.023012233898043633,7.756967534078285e-06
2002,SGDBI,11816_REPORT OF THE Study Group on Discard and By-Catch Information,5.8630030252970755e-06,3.2641673897160217e-06,0.19146397709846497,0.1213204562664032,2.38481425185455e-06,2.775005896182847e-06,0.014703264459967613,6.222241609066259e-06,2.5107005967583973e-06,3.923202712030616e-06,4.749409072246635e-06,0.6048220992088318,0.033215075731277466,6.622843557124725e-06,4.160677690379089e-06,0.005102858878672123,0.022586971521377563,5.106425760459388e-06,3.921074494428467e-06,2.551687430241145e-06,5.0733906391542405e-06,2.7735316052712733e-06,1.8351702237850986e-06,4.956266366207274e-06,0.00670668575912714,9.901813427859452e-06
2002,SGDBI,10247_Report of the Study Group on Discard and By-Catch Information (SGDBI),5.8630030252970755e-06,3.2641673897160217e-06,0.19146408140659332,0.12132041901350021,2.38481425185455e-06,2.775005896182847e-06,0.014703103341162205,6.222241609066259e-06,2.5107005967583973e-06,3.923202712030616e-06,4.749409072246635e-06,0.6048220992088318,0.03321506828069687,6.622843557124725e-06,4.160677690379089e-06,0.005103223957121372,0.022586779668927193,5.106425760459388e-06,3.921074494428467e-06,2.551687430241145e-06,5.0733906391542405e-06,2.7735316052712733e-06,1.8351702237850986e-06,4.956266366207274e-06,0.006706656888127327,9.901813427859452e-06
2012,IBP New,20177_Report of the Inter-Benchmark Protocol on New Species (Turbot and Sea bass) IBPNew,2.5658794129412854e-06,0.0061499932780861855,0.06489383429288864,0.006112853065133095,1.0436879165354185e-06,1.2144511174483341e-06,0.002944034058600664,0.00952868815511465,0.006902704015374184,1.7169468264910392e-06,2.0785271317436127e-06,0.633319616317749,0.003116642590612173,0.05053644999861717,1.8208753544968204e-06,0.0874968022108078,1.4961731267248979e-06,2.2347715002979385e-06,0.004062522202730179,0.001893777633085847,2.220314172518556e-06,1.213805944644264e-06,8.031423135435034e-07,0.0025572851300239563,2.0729883090098156e-06,0.12046430259943008
2013,WGAQUA,24047_Report of the Working Group on Aquaculture (WGAQUA),6.1108239606255665e-06,0.06942599266767502,6.613085133722052e-06,4.683441602537641e-06,2.4856169602571754e-06,2.8923016088810982e-06,8.567213626520243e-06,0.7886255383491516,2.616824303913745e-06,4.089030881004874e-06,4.95016001877957e-06,9.182837857224513e-06,3.295332135166973e-06,6.902781933604274e-06,4.3365439523768146e-06,4.145240836805897e-06,3.5632424442155752e-06,5.322267043084139e-06,4.0868130781746e-06,0.011998175643384457,5.28783584741177e-06,0.12983883917331696,1.9127403447782854e-06,5.1657611948030535e-06,4.936968707625056e-06,1.0320352885173634e-05
2014,WGAQUA,29551_01 WGAQUA - Report of the Working Group on Aquaculture,2.468628053975408e-06,0.20522436499595642,2.6715297281043604e-06,0.009652894921600819,0.036137904971838,1.1684213632179308e-06,3.4609513477334986e-06,0.3786337077617645,0.013361725024878979,1.6518715710844845e-06,1.999747382797068e-06,3.709649263328174e-06,1.331236035184702e-06,2.7885603230970446e-06,1.7518609638500493e-06,1.6745791526773246e-06,1.4394655636351672e-06,0.005250490736216307,0.02327178418636322,0.08450623601675034,0.042130474001169205,0.2010354846715927,7.727017532488389e-07,2.086844915538677e-06,0.0007618138333782554,4.169178282609209e-06
2015,WGAQUA,31109_01 WGAQUA - Report of the Working Group on Aquaculture,1.838413481891621e-06,0.13702483475208282,1.9895164768968243e-06,0.02958456613123417,0.006403973326086998,8.701357501195162e-07,2.577407030912582e-06,0.5060181021690369,7.872596370361862e-07,0.004902531858533621,0.0009083534241653979,2.7626151677395683e-06,9.913856047205627e-07,2.0766703983099433e-06,1.3046294498053612e-06,1.2470768524508458e-06,0.0035387978423386812,1.601179747012793e-06,0.043027084320783615,0.009541857987642288,0.11664705723524094,0.14110776782035828,5.75439230487973e-07,1.5540955473625218e-06,0.0012718200450763106,3.1048316486703698e-06
